timestamp_utc,timestamp_local,segment_id,current_speed_kmh,free_flow_speed_kmh,current_travel_time_s,free_flow_travel_time_s,confidence,road_closure,error
2026-08-22T21:00:01Z,2026-08-22T17:00:01-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T21:00:01Z,2026-08-22T17:00:01-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T21:00:01Z,2026-08-22T17:00:01-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T21:00:01Z,2026-08-22T17:00:01-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T21:00:01Z,2026-08-22T17:00:01-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T21:00:01Z,2026-08-22T17:00:01-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T21:00:01Z,2026-08-22T17:00:01-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T21:00:01Z,2026-08-22T17:00:01-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T21:00:01Z,2026-08-22T17:00:01-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T21:00:01Z,2026-08-22T17:00:01-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T22:00:02Z,2026-08-22T18:00:02-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-22T23:00:02Z,2026-08-22T19:00:02-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T00:00:01Z,2026-08-22T20:00:01-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T01:00:02Z,2026-08-22T21:00:02-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T02:00:01Z,2026-08-22T22:00:01-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T03:00:01Z,2026-08-22T23:00:01-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T04:00:02Z,2026-08-23T00:00:02-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T05:00:02Z,2026-08-23T01:00:02-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T06:00:01Z,2026-08-23T02:00:01-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T07:00:02Z,2026-08-23T03:00:02-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T08:00:01Z,2026-08-23T04:00:01-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,bronson_carling,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,bank_billings,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,innes_blair,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,march_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,woodroffe_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T09:00:01Z,2026-08-23T05:00:01-0400,merivale_base,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T10:00:02Z,2026-08-23T06:00:02-0400,417_kanata,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T10:00:02Z,2026-08-23T06:00:02-0400,417_pinecrest,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T10:00:02Z,2026-08-23T06:00:02-0400,417_downtown,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T10:00:02Z,2026-08-23T06:00:02-0400,417_vanier,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T10:00:02Z,2026-08-23T06:00:02-0400,417_orleans,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T10:00:02Z,2026-08-23T06:00:02-0400,417_stlaurent,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T10:00:02Z,2026-08-23T06:00:02-0400,416_barrhaven,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T10:00:02Z,2026-08-23T06:00:02-0400,queensway_bridge,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
2026-08-23T10:00:02Z,2026-08-23T06:00:02-0400,airport_pkwy,,,,,,,<urlopen error [Errno -3] Temporary failure in name resolution>
